#{"t_start": 1768854403.353659, "env_id": "MiniGrid-KeyDoor-v0"}
r,l,t
0.0,400,0.731576
0.0,400,0.814983
1.0,212,0.858424
1.0,4,0.85939
1.0,333,0.926617
0.0,400,1.007069
1.0,100,1.027112
0.0,400,1.646146
1.0,151,1.679226
0.0,400,1.765576
1.0,167,1.802506
0.0,400,1.883117
0.0,400,1.96377
0.0,400,2.543099
0.0,400,2.630217
0.0,400,2.718036
0.0,400,2.800391
0.0,400,2.882796
0.0,400,3.457897
0.0,400,3.543767
0.0,400,3.628154
0.0,400,3.709034
0.0,400,3.788135
0.0,400,3.867281
0.0,400,4.650454
0.0,400,4.736314
0.0,400,4.818668
1.0,42,4.827329
0.0,400,4.90747
0.0,400,4.988375
0.0,400,5.549109
0.0,400,5.635069
0.0,400,5.716303
1.0,126,5.741711
0.0,400,5.821749
1.0,170,5.856321
0.0,400,6.427455
0.0,400,6.513954
0.0,400,6.59746
1.0,37,6.605017
1.0,46,6.614224
0.0,400,6.693313
1.0,58,6.704939
1.0,1,6.705269
0.0,400,6.785431
1.0,23,6.790343
0.0,400,7.358396
1.0,4,7.359574
0.0,400,7.445152
1.0,283,7.504458
0.0,400,7.586042
0.0,400,7.673369
0.0,400,8.253454
0.0,400,8.33921
0.0,400,8.424206
1.0,75,8.439589
0.0,400,8.51964
1.0,231,8.565983
1.0,91,8.584276
0.0,400,9.149694
0.0,400,9.235327
0.0,400,9.322826
0.0,400,9.404648
0.0,400,9.486609
1.0,256,9.53846
0.0,400,10.106779
0.0,400,10.192851
0.0,400,10.276441
0.0,400,10.3572
0.0,400,10.437977
0.0,400,11.004923
1.0,30,11.011682
0.0,400,11.096662
0.0,400,11.180328
0.0,400,11.261793
1.0,75,11.277711
0.0,400,11.358971
0.0,400,11.930994
0.0,400,12.01746
1.0,38,12.026124
0.0,400,12.110507
1.0,9,12.112551
0.0,400,12.191965
1.0,396,12.271048
0.0,400,12.874359
0.0,400,12.960271
0.0,400,13.044898
0.0,400,13.124213
1.0,351,13.194043
0.0,400,13.832301
0.0,400,13.91686
1.0,71,13.932275
0.0,400,14.015407
0.0,400,14.095476
1.0,61,14.107972
1.0,54,14.118925
0.0,400,14.199555
1.0,2,14.200216
0.0,400,14.757741
0.0,400,14.842518
0.0,400,14.924197
1.0,239,14.971208
0.0,400,15.05192
1.0,374,15.619951
0.0,400,15.704913
0.0,400,15.790937
0.0,400,15.871445
1.0,2,15.872071
0.0,400,15.952737
1.0,86,15.970119
0.0,400,16.58317
1.0,215,16.629498
0.0,400,16.715244
0.0,400,16.797096
1.0,108,16.818903
1.0,131,16.845076
0.0,400,16.924926
0.0,400,17.498535
1.0,46,17.508734
0.0,400,17.594597
0.0,400,17.678304
0.0,400,17.759068
0.0,400,17.843143
1.0,24,17.848341
1.0,9,17.850267
1.0,92,17.868767
0.0,400,18.466537
1.0,64,18.48107
0.0,400,18.566833
1.0,85,18.585311
1.0,46,18.595284
0.0,400,18.675802
1.0,15,18.679035
0.0,400,18.758544
0.0,400,19.377657
0.0,400,19.463445
1.0,253,19.517345
1.0,92,19.537085
0.0,400,19.618642
1.0,43,19.627412
1.0,195,19.666608
1.0,41,19.674981
0.0,400,19.755293
0.0,400,20.32909
1.0,11,20.331826
1.0,83,20.349523
0.0,400,20.434371
0.0,400,20.516728
1.0,387,20.593291
0.0,400,20.671772
0.0,400,21.251422
1.0,2,21.252186
1.0,315,21.319215
1.0,167,21.354766
1.0,54,21.366333
1.0,168,21.401397
1.0,1,21.401729
1.0,216,21.445031
0.0,400,21.525765
1.0,258,21.577228
1.0,38,21.58491
1.0,9,21.586806
0.0,400,22.192952
1.0,15,22.196531
0.0,400,22.282572
1.0,111,22.306584
0.0,400,22.38846
1.0,20,22.392729
0.0,400,22.473182
0.0,400,22.554399
0.0,400,23.134722
1.0,36,23.142831
0.0,400,23.229101
1.0,259,23.283597
0.0,400,23.365797
1.0,204,23.407647
1.0,30,23.413883
1.0,186,23.451268
0.0,400,24.029025
1.0,54,24.040923
0.0,400,24.125345
1.0,79,24.14245
1.0,310,24.20691
1.0,15,24.210093
0.0,400,24.290442
1.0,352,24.360801
1.0,86,24.377964
0.0,400,24.947922
0.0,400,25.034088
0.0,400,25.117771
1.0,18,25.121622
0.0,400,25.201976
1.0,32,25.208681
1.0,83,25.225303
0.0,400,25.304689
0.0,400,25.888852
1.0,71,25.904474
1.0,373,25.98468
0.0,400,26.066061
1.0,47,26.075622
1.0,261,26.127179
0.0,400,26.206328
0.0,400,26.782266
1.0,39,26.790882
1.0,160,26.825143
1.0,13,26.828033
0.0,400,26.912814
1.0,58,26.925384
1.0,7,26.926928
0.0,400,27.007559
0.0,400,27.088611
1.0,255,27.140094
0.0,400,27.742237
0.0,400,27.827424
1.0,56,27.839649
1.0,2,27.840208
0.0,400,27.921807
1.0,50,27.932107
1.0,12,27.934668
1.0,388,28.012802
1.0,34,28.01986
0.0,400,28.633818
1.0,256,28.68916
1.0,20,28.69364
1.0,16,28.697189
1.0,139,28.726932
0.0,400,28.81272
0.0,400,28.893972
0.0,400,28.97327
1.0,21,28.977928
0.0,400,29.588963
0.0,400,29.673595
1.0,141,29.704055
0.0,400,29.788557
1.0,337,29.855989
0.0,400,29.936113
1.0,120,29.960049
1.0,56,29.971327
1.0,163,30.49391
0.0,400,30.579748
1.0,2,30.58047
1.0,30,30.587144
1.0,67,30.601438
0.0,400,30.686708
0.0,400,30.768031
0.0,400,30.847029
1.0,37,30.854529
1.0,303,31.399762
1.0,80,31.417404
